"Freq [GHz]","NormalizedDistance []","NearETotal [V_per_meter]"
2,0,509.042175745222
2,0.01,451.480243510065
2,0.02,424.060377718224
2,0.03,399.263837206809
2,0.04,377.621894445826
2,0.05,633.175085186035
2,0.06,597.70967516119
2,0.07,568.15748618885
2,0.08,545.529013534596
2,0.09,530.763450746569
2,0.1,524.929336962705
2,0.11,527.646004435107
2,0.12,533.870407303363
2,0.13,521.061975427444
2,0.14,508.333449690629
2,0.15,495.844918200895
2,0.16,487.179584561884
2,0.17,466.305156470072
2,0.18,444.620284580139
2,0.19,428.938536761511
2,0.2,427.575996307175
2,0.21,426.448735635391
2,0.22,425.569077680922
2,0.23,424.950539457523
2,0.24,424.607763263068
2,0.25,424.556432101543
2,0.26,424.813168990524
2,0.27,442.499690379511
2,0.28,429.231772578702
2,0.29,416.823826899736
2,0.3,400.097303568959
2,0.31,400.669373873245
2,0.32,467.475994088712
2,0.33,408.691210880716
2,0.34,397.296943571449
2,0.35,389.973106040292
2,0.36,358.958715753629
2,0.37,340.014554810056
2,0.38,370.563652001676
2,0.39,367.278544369872
2,0.4,365.992095145387
2,0.41,366.566633005613
2,0.42,368.840228964739
2,0.43,372.634565874862
2,0.44,377.76299228053
2,0.45,384.037851529502
2,0.46,391.276493590293
2,0.47,355.113603182617
2,0.48,339.619075983585
2,0.49,328.328563635384
2,0.5,316.011754513311
2,0.51,303.674554111652
2,0.52,291.339330371656
2,0.53,279.033216177249
2,0.54,260.019764387517
2,0.55,252.030781440116
2,0.56,244.208191456023
2,0.57,236.595433392765
2,0.58,229.241890345797
2,0.59,222.203379972596
2,0.6,215.542500236956
2,0.61,209.328723507651
2,0.62,203.63810230635
2,0.63,198.552428134982
2,0.64,198.783457433085
2,0.65,194.360257241724
2,0.66,191.436054159632
2,0.67,190.128672479301
2,0.68,190.520636724915
2,0.69,192.6509470486
2,0.7,196.512145259208
2,0.71,254.296782245103
2,0.72,264.487978402233
2,0.73,276.250998429445
2,0.74,289.30316987173
2,0.75,303.392726808957
2,0.76,318.30179644628
2,0.77,333.8454168177
2,0.78,349.868455124901
2,0.79,366.241700328938
2,0.8,382.857882591023
2,0.81,568.130540508136
2,0.82,550.796011936033
2,0.83,534.020639394888
2,0.84,517.882439720009
2,0.85,502.467451642658
2,0.86,487.869855934938
2,0.87,474.191760806443
2,0.88,461.542525488664
2,0.89,450.037486076332
2,0.9,439.795957806025
2,0.91,430.93842757926
2,0.92,423.582928575656
2,0.93,417.840707386101
2,0.94,413.811442499421
2,0.95,411.578423530043
2,0.96,411.204210937666
2,0.97,213.901313353635
2,0.98,402.083950840856
2,0.99,387.431382540853
2,1,372.771749664238
